account_number;agreement_number;account_type;name;balance;debit_credit;block_direct_entries;vat_code;self_url;created_at;updated_at;Mapping;Category
6918;1382005;totalFrom;Moms og afgifter i alt;-1622336,79;debit;0;\N;https://restapi.e-conomic.com/accounts/6918;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
6919;1382005;heading;Anden gæld;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6919;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
6920;1382005;status;Skyldig A-skat;-487;credit;0;\N;https://restapi.e-conomic.com/accounts/6920;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6921;1382005;status;Skyldig ATP;-19899;credit;0;\N;https://restapi.e-conomic.com/accounts/6921;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6922;1382005;status;Skyldig pension;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6922;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6923;1382005;status;Skyldige feriepenge & SH;-5932,52;credit;0;\N;https://restapi.e-conomic.com/accounts/6923;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6924;1382005;status;Skyldig DA-barsel;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6924;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6925;1382005;status;Indefrosset feriepenge;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6925;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6930;1382005;status;Skyldig AM-bidrag;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6930;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6940;1382005;status;Skyldige lønninger;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6940;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6945;1382005;status;Andre skyldige løn poster;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6945;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6946;1382005;status;Hensat feriepengeforpligtelse;-421625,13;credit;0;\N;https://restapi.e-conomic.com/accounts/6946;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6950;1382005;status;Skattekonto;14,03;credit;0;\N;https://restapi.e-conomic.com/accounts/6950;01/05/2025 15.59;01/05/2025 15.59;Other payables;Balance sheet
6999;1382005;totalFrom;Anden gæld i alt;-447929,62;debit;0;\N;https://restapi.e-conomic.com/accounts/6999;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
7999;1382005;totalFrom;GÆLD I ALT;-1935773,06;debit;0;\N;https://restapi.e-conomic.com/accounts/7999;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
8999;1382005;sumInterval;PASSIVER I ALT;-7368239,32;debit;0;\N;https://restapi.e-conomic.com/accounts/8999;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
9900;1382005;status;Analyse/fejlkonto;0;debit;0;\N;https://restapi.e-conomic.com/accounts/9900;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
9990;1382005;totalFrom;Nulkontrol;0;debit;0;\N;https://restapi.e-conomic.com/accounts/9990;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
